booth,name,am,bme,chem,civ,ce,cs,ee,enve,ie,made,mse,mech,non,ms,phd,fte,coop,intern,intl,description
41,3M Company,,,1,,1,1,1,,1,1,1,1,,1,1,1,,1,,"Welcome to a world where your inspired ideas fuel endless progress. At 3M, you\u2019ll help us develop the products that change the way people live and work. And you\u2019ll realize boundless opportunities for your own professional success. As a powerhouse of innovation, our industry leadership is extensive\u2014everything from homes and health care to electronics and transportation. Whatever the challenge, our people collaborate across disciplines and around the world to take it on. Find out more about what makes 3M a uniquely rewarding place to learn, grow and contribute. Join us at 3M, and be part of what\u2019s next.\r\n"
55,3Red,1,,,,1,1,1,,,,,,,1,1,1,1,1,1,3Red is a proprietary trading firm with offices in the Chicago Loop and New York City. They leverage technology and math to implement risk and responding to dynamic market conditions. They are headquartered in the Chicago Loop.\r\n
60,Adage Technologies,,,,,1,1,1,,,,,,,1,1,1,1,,1,"Founded in 2001, Adage Technologies is a web development firm located in downtown Chicago. We build custom websites, mobile apps and software for client organizations. \r\n
It\'s a collaborative and entrepreneurial group here at Adage. We are passionate about our work and are always pretty hungry to grow and learn more. \r\n
Awards :\r\n
Top 50 Gen Y Employer in Chicago-Brill Street \r\n
One of The Best Places to Work in Illinois- The Daily Herald Business Ledger \r\n
500\/5000 Fastest Growing Private Companies- INC.\r\n"
30,Alcatel-Lucent,,,,,1,1,1,,,,,,,1,1,1,1,1,1,"Telecoms today is an environment of radical adaptation to new realities, new demands, new business models. The long-trusted transformation partner of service providers, enterprises, strategic industries and governments around the world, Alcatel-Lucent delivers the innovation our customers need to stay ahead. To compete. To create. To move at the speed of ideas, both in the lab and in the marketplace. \r\n
A leader in mobile, fixed, IP and optics technologies, and a pioneer in applications and services, Alcatel-Lucent includes Bell Labs, one of the world\u2019s foremost centers of research and innovation in communication technology. We bring an unmatched heritage of ideas and execution to the challenge of realizing the potential of a connected world. Our customers turn to us for our ability to deliver on their future. \r\n
With operations in more than 130 countries and the most experienced global services organization in the industry, Alcatel-Lucent is a local partner with a global reach. Alcatel-Lucent achieved revenues of Euro 16 billion in 2010 and is incorporated in France and headquartered in Paris. \r\n
Alcatel-Lucent is the trusted partner of service providers, enterprises and governments worldwide, providing solutions to deliver voice, data and video communication services to end-users. A leader in fixed, mobile and converged broadband networking, IP technologies, applications and services, Alcatel-Lucent leverages the unrivalled technical and scientific expertise of Bell Labs, one of the largest innovation powerhouses in the communications industry. With operations in more than 130 countries and the most experienced global services organization in the industry, Alcatel-Lucent is a local partner with a global reach. For more information, visit Alcatel-Lucent on the Internet: http:\/\/www.alcatel-lucent.com\r\n"
4,Allstate Insurance,,,,,1,1,,,,,,,,,,1,,1,,"The Allstate Corporation is the largest publicly held personal lines property and casualty insurer in America. Allstate was founded in 1931 and became a publicly traded company in 1993. As of year-end 2011, Allstate had $125.6 billion in total assets. In 2011, Allstate was number 93 on the Fortune 500 list of largest companies in America. \r\n
Allstate celebrates creative problem solving, full engagement and working together to keep all people in Good Hands\u00AE. Rooted in empowerment and accountability, Allstate employees are challenged to maximize their own focus, resourcefulness and diversity.\r\n
\r\n"
37,AT&T,,,,,1,1,1,,1,,,1,,1,,1,,1,,"AT&T is pioneering, hard-working, and looking for someone just like us. Throughout our history, we\u2019ve helped people like you connect with training, technology, and the opportunity to grow. How much can we accomplish together? It\u2019s ridiculous.\r\n
\r\n"
59,Atomatic Mechanical Services,,,,,1,,,,,,,1,,,,1,1,1,,"For over 65 years, Atomatic Mechanical Services has been dedicated to quality design, installation and service of HVAC systems for the commercial, institutional, industrial and residential building markets throughout metropolitan Chicago. \r\n
Our solid reputation is built on high standards, innovative designs and exceptional customer service. We honor our word and commitments. \r\n
Atomatic\u2019s ultimate goal is to continually meet the changing needs of our customers and exceed their expectations.\r\n"
8,Baxter Healthcare Corporation,,1,1,,1,1,,,1,1,1,1,,1,1,1,1,1,,"A leader in healthcare for 80 years, Baxter assists healthcare professionals and their patients with treatment of complex medical conditions.  Baxter develops, maufactures and markets healthcare products implementing medical devices, pharmaceuticals and biotechnology to advance patient care worldwide. \r\n"
33,Belvedere Trading,1,,,,1,1,1,,,,,,1,,,1,,1,,"Belvedere Trading is a leading proprietary trading firm that specializes in equity options and commodity products.  Belvedere Trading\u2019s employees act as market makers, ensuring liquidity by laying two sided markets to help provide an orderly market place in the products they trade. \r\n"
44,Bemis Company,,,1,,,,1,,1,,,1,,,1,1,1,1,,"Bemis Company is a major supplier of flexible packaging and pressure sensitive materials used by leading food, consumer products, healthcare, and other companies worldwide. Founded in 1858, the Company is included in the S&P 500 index of stocks and reported 2010 net sales of $4.8 billion. The Company\u2019s flexible packaging business has a strong technical base in polymer chemistry, film extrusion, coating and laminating, printing, and converting. Headquartered in Neenah, Wisconsin, Bemis employs nearly 20,000 individuals worldwide. More information about the Company is available at our website, www.bemis.com\r\n"
